champion_id,champion_name,skin_id,skin_name,skin_release_date,win_rate_1m_before,win_rate_2w_after,popularity_1m_before,popularity_2w_after,buff_entries_6w_before,buff_patches_6w_before,nerf_entries_6w_after,nerf_patches_6w_after,win_rate_change,popularity_change,any_buff_6w_before,any_nerf_6w_after,popularity_quartile
105,Fizz,35,Rain Shepherd,2024-06-26,49.9582422327483,50.3399557125621,4.56463531228021,4.85661843592193,0,0,0,0,0.381713479813804,0.291983123641723,FALSE,FALSE,Q2
902,Milio,11,Rain Shepherd,2024-06-26,50.9399883701381,51.3099440579732,4.63597517596894,4.42618457078058,0,0,4,1,0.369955687835116,-0.209790605188361,FALSE,TRUE,Q2
200,Bel'Veth,19,Primordian,2024-07-17,49.7755946160353,48.5790477270208,2.24534114040033,2.16471852787331,1,1,0,0,-1.19654688901445,-0.0806226125270184,TRUE,FALSE,Q1: least popular
21,Miss Fortune,32,Admiral Battle Bunny,2024-07-17,49.5502268737665,50.9211113630486,11.7399022926224,17.3381025521305,5,1,0,0,1.37088448928211,5.59820025950811,TRUE,FALSE,Q4: most popular
421,Rek'Sai,26,Primordian,2024-07-17,50.6530939890969,49.8447622718708,1.79136476625307,1.11526293803796,0,0,0,0,-0.808331717226082,-0.676101828215117,FALSE,FALSE,Q1: least popular
147,Seraphine,43,Battle Dove,2024-07-17,50.1472550474669,51.1780954540416,7.42302588464357,9.41285967230174,0,0,2,1,1.0308404065747,1.98983378765818,FALSE,TRUE,Q3
498,Xayah,47,Battle Bat,2024-07-17,48.7329369226432,48.6139677284987,2.97597099296232,4.27754069081475,2,1,0,0,-0.118969194144483,1.30156969785243,TRUE,FALSE,Q1: least popular
350,Yuumi,49,Cyber Cat,2024-07-17,47.7694240896697,48.515555908268,4.85286846245303,6.23777391821155,2,1,0,0,0.746131818598286,1.38490545575852,TRUE,FALSE,Q2
350,Yuumi,50,Prestige Cyber Cat,2024-07-17,47.7694240896697,48.515555908268,4.85286846245303,6.23777391821155,2,1,0,0,0.746131818598286,1.38490545575852,TRUE,FALSE,Q2
266,Aatrox,33,Primordian,2024-07-31,49.3739161264598,49.5179837011376,8.72145295872502,11.0538352336928,0,0,0,0,0.144067574677784,2.33238227496783,FALSE,FALSE,Q3
233,Briar,10,Primordian,2024-07-31,51.6480186385645,52.0420512249962,4.7816635531085,6.02382584470912,0,0,0,0,0.394032586431706,1.24216229160062,FALSE,FALSE,Q2
420,Illaoi,27,Battle Bear,2024-07-31,50.996037277129,51.797972059093,4.83906478202815,5.68946344674589,0,0,0,0,0.801934781963993,0.850398664717744,FALSE,FALSE,Q2
89,Leona,52,Battle Lion,2024-07-31,52.0480069894617,51.2460372545427,11.9155698219755,11.4308400630056,0,0,1,1,-0.801969734918991,-0.484729758969875,FALSE,TRUE,Q4: most popular
89,Leona,53,Prestige Battle Lion,2024-07-31,52.0480069894617,51.2460372545427,11.9155698219755,11.4308400630056,0,0,1,1,-0.801969734918991,-0.484729758969875,FALSE,TRUE,Q4: most popular
157,Yasuo,77,Battle Wolf,2024-07-31,48.5799883508972,49.3480884795389,13.3169601628435,16.0997647405297,3,1,0,0,0.768100128641713,2.78280457768618,TRUE,FALSE,Q4: most popular
432,Bard,35,T1,2024-08-14,48.9195894661069,48.6120855203255,2.00549983797239,2.46596313019556,0,0,0,0,-0.307503945781328,0.460463292223169,FALSE,FALSE,Q1: least popular
126,Jayce,34,T1,2024-08-14,47.7333582918971,46.9297556953001,3.19055534093995,4.56009527032763,2,1,0,0,-0.803602596597045,1.36953992938768,TRUE,FALSE,Q1: least popular
126,Jayce,36,Prestige T1,2024-08-14,47.7333582918971,46.9297556953001,3.19055534093995,4.56009527032763,2,1,0,0,-0.803602596597045,1.36953992938768,TRUE,FALSE,Q1: least popular
222,Jinx,62,T1,2024-08-14,51.2900559430336,50.223001731353,15.3822959071008,12.116262349495,0,0,0,0,-1.06705421168061,-3.26603355760581,FALSE,FALSE,Q4: most popular
64,Lee Sin,68,T1,2024-08-14,48.0181530249505,48.4500349006714,14.8702485722442,16.7820478491013,0,0,0,0,0.43188187572089,1.91179927685709,FALSE,FALSE,Q4: most popular
61,Orianna,38,T1,2024-08-14,48.932947758004,49.2335689356663,2.63246397775554,3.53965690081887,1,1,0,0,0.300621177662379,0.907192923063329,TRUE,FALSE,Q1: least popular
1,Annie,50,Battle Princess,2024-08-28,50.6113641670403,50.849811402994,1.71025310740769,1.77022552795616,0,0,1,1,0.238447235953757,0.0599724205484735,FALSE,TRUE,Q1: least popular
122,Darius,64,Divine God-King,2024-08-28,49.0623629995517,49.1933868855696,8.86244649007137,9.57996984898764,0,0,0,0,0.131023886017935,0.717523358916266,FALSE,FALSE,Q3
114,Fiora,89,Battle Queen,2024-08-28,50.017164400538,49.9466759800991,3.40916076438244,3.87436292436693,0,0,0,0,-0.0704884204389487,0.465202159984494,FALSE,FALSE,Q1: least popular
86,Garen,44,Fallen God-King,2024-08-28,51.2411278670851,52.2266200995047,9.49749842506678,14.5200471541418,0,0,0,0,0.985492232419581,5.022548729075,FALSE,FALSE,Q3
887,Gwen,30,Battle Queen,2024-08-28,49.8583995330046,50.0433170348267,3.29992288018926,4.55061257830717,0,0,0,0,0.184917501822092,1.2506896981179,FALSE,FALSE,Q1: least popular
21,Miss Fortune,60,Battle Queen,2024-08-28,50.8739098338564,50.7304610149035,16.9166879364203,20.0020704719589,0,0,1,1,-0.143448818952912,3.08538253553852,FALSE,TRUE,Q4: most popular
268,Azir,19,Attorney,2024-09-11,47.3698951826635,44.9700697727973,2.52116750199786,1.97700116167125,2,1,0,0,-2.39982540986617,-0.544166340326612,TRUE,FALSE,Q1: least popular
111,Nautilus,36,Crystalis Indomitus,2024-09-11,48.6260908416917,48.3728023213736,10.5247647282716,9.82098113566131,0,0,0,0,-0.253288520318108,-0.703783592610332,FALSE,FALSE,Q4: most popular
412,Thresh,59,Janitor,2024-09-11,49.2761257808038,49.2098778976047,10.9322874119714,12.1791946214212,0,0,0,0,-0.0662478831990967,1.24690720944982,FALSE,FALSE,Q4: most popular
20,Nunu & Willump,44,Fright Night,2024-09-25,48.89,49.6743431539273,3.64709238187138,4.01098905474256,0,0,0,0,0.784343153927338,0.363896672871179,FALSE,FALSE,Q1: least popular
555,Pyke,64,Fright Night,2024-09-25,49.4022450276112,48.2114885084459,7.00608886640129,7.12827906286604,0,0,0,0,-1.19075651916525,0.122190196464747,FALSE,FALSE,Q3
35,Shaco,54,Fright Night,2024-09-25,49.359965112523,49.145761735853,8.16776475293291,7.28411649355147,0,0,0,0,-0.214203376669992,-0.883648259381439,FALSE,FALSE,Q3
45,Veigar,60,Fright Night,2024-09-25,51.2584916857669,52.4159190705236,8.05735891864417,10.0487421002023,0,0,1,1,1.15742738475666,1.99138318155809,FALSE,TRUE,Q3
234,Viego,37,Worlds 2024,2024-09-25,49.8334742420284,50.5243781171875,9.89345751087636,14.6653012403881,1,1,1,1,0.690903875159059,4.7718437295117,TRUE,TRUE,Q3
221,Zeri,28,Fright Night,2024-09-25,49.1629817409892,47.1629245720017,5.6182461583676,4.05058960567991,0,0,0,0,-2.00005716898757,-1.5676565526877,FALSE,FALSE,Q2
221,Zeri,29,Prestige Fright Night,2024-09-25,49.1629817409892,47.1629245720017,5.6182461583676,4.05058960567991,0,0,0,0,-2.00005716898757,-1.5676565526877,FALSE,FALSE,Q2
